Criterium;Indicator;Vlaanderen;Provincie;Gemeente;FBZ;FBDZ;WBE;jachtterrein
Jacht;uren_jachtinspanning;0;0;0;0;0;0;1
Jacht;aantal_aanzitten;0;0;0;0;0;0;1
Jacht;aantal_drukjachten;1;1;1;1;1;1;1
Jacht;drukjachtinspanning;1;1;1;1;1;1;1
Jacht;afschot;2;2;2;2;2;2;1
Jacht;samenstelling_afschot;2;2;2;2;2;2;1
Verkeer;rasters_verkeer;1;1;1;1;1;1;1
Verkeer;signalisatie_verkeer;1;1;1;1;1;1;1
Verkeer;snelheid_verkeer;1;1;1;1;1;1;1
Verkeer;meldingen_verkeer;1;1;1;1;1;1;1
Verkeer;kost_verkeer;0;0;0;0;0;0;0
Verkeer;inschatting_verkeer;0;0;0;0;0;0;0
Landbouw;aantal_rasters_landbouw;0;0;0;0;0;0;0
Landbouw;maatregelen_landbouw;0;0;0;0;0;0;0
Landbouw;lengte_rasters_landbouw;0;0;0;0;0;0;0
Landbouw;meldingen_landbouw;1;1;1;1;1;1;1
Landbouw;kost_landbouw;1;1;1;1;1;1;1
Landbouw;inschatting_landbouw;1;1;1;1;1;1;1
Priv_Publ;maatregelen_privpub;0;0;0;0;0;0;0
Priv_Publ;meldingen_privpub;1;1;1;1;1;1;1
Priv_Publ;kost_privpub;0;0;0;0;0;0;0
Priv_Publ;inschatting_privpub;0;0;0;0;0;0;0
Maatsch_draagvl;communicatie;1;1;1;1;1;1;1
Maatsch_draagvl;kost_stakeholders;0;0;0;0;0;0;0
Maatsch_draagvl;houding;2;1;1;1;1;0;0
Maatsch_draagvl;aantrekkingskracht;2;1;1;1;1;0;0
Maatsch_draagvl;acceptatie;2;1;1;1;1;0;0
Maatsch_draagvl;draagkracht;2;1;1;1;1;0;0
Populatie;percentage_jongen;0;0;0;0;0;0;1
Populatie;reproductie;1;1;1;1;1;1;1
Populatie;verspreiding_afschot;2;2;2;2;2;2;1
Populatie;verspreiding_waarnemingen;2;2;2;2;2;2;1
Populatie;verspreiding_NO;0;0;0;0;0;0;1
Populatie;verspreiding_toekomst;2;2;2;2;2;2;1
Populatie;inschatting_popgroei;0;0;0;1;1;0;1
Populatie;aanzitten_waarnemingen;0;0;0;0;0;0;1
Populatie;waarnemingen_uur;0;0;0;0;0;0;1
Populatie;tijd_waarneming;0;0;0;0;0;0;1
Populatie;RAI;0;0;0;0;0;0;1
Populatie;REM;0;0;0;0;0;0;1
Populatie;NO;0;0;0;0;0;0;1
Ecol_impact;impact_fauna_flora;0;0;0;0;0;0;0
gezondheid;wildziektes;0;0;0;0;0;0;0
Achtergronddata;Grootte studiegebied;2;2;2;2;2;2;2
Achtergronddata;Samenstelling studiegebied;2;2;2;2;2;2;2
Achtergronddata;Wegdensiteit;2;2;2;2;2;2;2
Achtergronddata;Bosperimeter;2;2;2;2;2;2;2
Achtergronddata;Habitatdensiteit;2;2;2;2;2;2;2
Achtergronddata;Gemiddelde habitatsoppervlakte;2;2;2;2;2;2;2
