dateHalfMonth;obsYear;median;min;max
January_01;2.55;3.05;1.55;5.55
January_02;7.21;6.71;5.21;9.21
February_01;3.54;3.94;2.54;5.04
February_02;5.35;4.75;2.35;6.35
March_01;2.80;3.30;1.80;5.80
March_02;4.79;4.29;2.79;5.49
April_01;3.17;3.87;2.67;6.67
April_02;3.36;2.56;2.36;4.36
May_01;4.29;4.79;3.29;7.29
May_02;4.23;4.73;2.23;6.23
June_01;4.48;4.68;3.48;5.48
June_02;4.42;4.52;2.42;6.42
July_01;2.55;2.05;1.05;3.05
July_02;2.24;1.54;1.24;5.24
August_01;2.36;2.06;1.36;7.36
August_02;4.10;4.60;3.60;7.10
September_01;3.54;3.04;2.54;6.54
September_02;4.35;3.85;1.35;6.35
October_01;3.73;3.63;1.73;4.73
October_02;3.73;3.33;2.73;4.73
November_01;3.98;4.48;2.98;4.48
November_02;9.58;9.88;8.08;11.58
December_01;4.10;4.60;3.60;7.10
December_02;5.53;5.73;4.53;6.53
