Soort;Type;Jaar;Startdatum;Stopdatum
Wild zwijn;;2009;1/01/2009;31/12/2009
Wild zwijn;;2010;1/01/2010;31/12/2010
Wild zwijn;;2011;1/01/2011;31/12/2011
Wild zwijn;;2012;1/01/2012;31/12/2012
Wild zwijn;;2013;1/01/2013;31/12/2013
Wild zwijn;;2014;1/01/2014;31/12/2014
Wild zwijn;;2015;1/01/2015;31/12/2015
Wild zwijn;;2016;1/01/2016;31/12/2016
Wild zwijn;;2017;1/01/2017;31/12/2017
Ree;bok;2017;1/05/2017;15/09/2017
Ree;geit;2017;1/01/2017;31/03/2017
Ree;kits;2017;1/01/2017;31/03/2017
Ree;bok;2016;1/05/2016;15/09/2016
Ree;geit;2016;1/01/2016;31/03/2016
Ree;kits;2016;1/01/2016;31/03/2016
Ree;bok;2015;1/05/2015;15/09/2015
Ree;geit;2015;1/01/2015;31/03/2015
Ree;kits;2015;1/01/2015;31/03/2015
Ree;bok;2014;1/05/2014;15/09/2014
Ree;geit;2014;1/01/2014;31/03/2014
Ree;kits;2014;1/01/2014;31/03/2014
Ree;bok;2013;15/05/2013;15/09/2013
Ree;geit;2013;15/01/2013;15/03/2013
Ree;kits;2013;15/01/2013;15/03/2013
Ree;bok;2012;15/05/2012;15/09/2012
Ree;geit;2012;15/01/2012;15/03/2012
Ree;kits;2012;15/01/2012;15/03/2012
Ree;bok;2011;15/05/2011;15/09/2011
Ree;geit;2011;15/01/2011;15/03/2011
Ree;kits;2011;15/01/2011;15/03/2011
Ree;bok;2010;15/05/2010;15/09/2010
Ree;geit;2010;15/01/2010;15/03/2010
Ree;kits;2010;15/01/2010;15/03/2010
Ree;bok;2009;15/05/2009;15/09/2009
Ree;geit;2009;15/01/2009;15/03/2009
Ree;kits;2009;15/01/2009;15/03/2009
Ree;bok;2008;15/05/2008;15/09/2008
Ree;geit;2008;15/01/2008;15/03/2008
Ree;kits;2008;15/01/2008;15/03/2008
Ree;bok;2007;15/05/2007;15/09/2007
Ree;geit;2007;15/01/2007;15/03/2007
Ree;kits;2007;15/01/2007;15/03/2007
Ree;bok;2006;15/05/2006;15/09/2006
Ree;geit;2006;15/01/2006;15/03/2006
Ree;kits;2006;15/01/2006;15/03/2006
Ree;bok;2005;15/05/2005;15/09/2005
Ree;geit;2005;15/01/2005;15/03/2005
Ree;kits;2005;15/01/2005;15/03/2005
Ree;bok;2004;15/05/2004;15/09/2004
Ree;geit;2004;15/01/2004;15/03/2004
Ree;kits;2004;15/01/2004;15/03/2004
Ree;bok;2003;15/05/2003;15/09/2003
Ree;geit;2003;15/01/2003;15/03/2003
Ree;kits;2003;15/01/2003;15/03/2003
Ree;bok;2002;15/05/2002;15/09/2002
Ree;geit;2002;15/01/2002;15/03/2002
Ree;kits;2002;15/01/2002;15/03/2002
Wild zwijn;;2018;1/01/2018;31/12/2018
Wild zwijn;;2019;1/01/2019;31/12/2019
Wild zwijn;;2020;1/01/2020;31/12/2020
Ree;bok;2018;1/05/2018;15/09/2018
Ree;geit;2018;1/01/2018;31/03/2018
Ree;kits;2018;1/01/2018;31/03/2018
Ree;bok;2019;1/05/2019;15/09/2019
Ree;geit;2019;1/01/2019;31/03/2019
Ree;kits;2019;1/01/2019;31/03/2019
Ree;bok;2020;1/05/2020;15/09/2020
Ree;geit;2020;1/01/2020;31/03/2020
Ree;kits;2020;1/01/2020;31/03/2020
